category,subcategory,revenue,gross_profit,contribution_profit,orders,units,returns,contribution_margin_pct,return_rate_pct
Beauty,Haircare,19623772.588,7709789.559311001,6656123.578590675,6031,8393,400,33.91867465209476,6.63239927043608
Beauty,Makeup,19795646.173,6936192.118575,5877286.540467623,6088,8417,392,29.689793852164655,6.438896189224704
Beauty,Personal Care,27633103.91,10335363.372976,9271533.64975076,6078,8385,372,33.552270059663954,6.1204343534057255
Beauty,Skincare,16270516.873,7019139.02876,5938166.964207487,6172,8549,410,36.49648631667958,6.642903434867142
Electronics,Accessories,18965619.912,9158787.124755,8115901.445927441,5967,8301,389,42.79270323661984,6.519188872130049
Electronics,Audio,17463133.469,5584508.171971,4527494.886290153,6054,8429,383,25.926016624262868,6.326395771390816
Electronics,Smartphones,12730030.285,4939868.681651,3872604.1275345725,6038,8415,412,30.421012682882022,6.823451473998013
Electronics,Wearables,12651976.638,5523715.97465,4458962.779453307,6055,8253,404,35.243210662126,6.672171758876961
Fashion,Accessories,17185030.981,5676783.31827,4583786.510669029,6264,8651,440,26.673134984376375,7.0242656449553005
Fashion,Footwear,17513081.717,7185495.046626,6109354.7181458585,6140,8471,435,34.88452127883061,7.084690553745928
Fashion,Menswear,22044129.105,9098705.327098,8035337.325181986,6083,8497,401,36.451144370041945,6.59214203518001
Fashion,Womenswear,18028093.164,7476914.83518,6409679.361390504,6071,8420,404,35.55383979371643,6.654587382638774
Home,Appliances,20043076.691,9371389.19281,8309514.676984383,6064,8345,374,41.458279110989125,6.167546174142481
Home,Home Decor,22516041.674,9181035.906286,8110829.23023038,6096,8472,420,36.022447229684325,6.889763779527559
Home,Kitchen,14706450.98,5814839.147549,4764681.3484086,6004,8346,439,32.398580424932675,7.311792138574284
Home,Storage,16113824.467,6776414.814443,5715985.238783225,6089,8499,373,35.472554951117715,6.125800624076203
Sports,Equipment,9277640.43,3797871.815509,2733692.394736717,6114,8490,399,29.465384171357854,6.5260058881256136
Sports,Fitness,13539823.04,5043451.268413,3966029.5109601854,6153,8589,408,29.291590438394575,6.630911750365676
Sports,Outdoor,25434765.352,10439702.412143,9350591.452148536,6218,8673,434,36.76303407066138,6.979736249597941
Sports,Sportswear,18539315.444,6792434.587921,5715075.14765075,6135,8519,391,30.826786268963122,6.373268133659332
