cohort_month,order_month,cohort_age_months,customers,revenue
2024-01,2024-01,0,4706,15429706.558
2024-01,2024-02,1,639,2036449.066
2024-01,2024-03,2,756,2376764.731
2024-01,2024-04,3,688,2357796.954
2024-01,2024-05,4,766,2582996.414
2024-01,2024-06,5,739,2405479.953
2024-01,2024-07,6,765,2495679.93
2024-01,2024-08,7,779,2577662.092
2024-01,2024-09,8,721,2380490.487
2024-01,2024-10,9,738,2401193.229
2024-01,2024-11,10,691,2213193.527
2024-01,2024-12,11,714,2368965.053
2024-01,2025-01,12,752,2469363.22
2024-01,2025-02,13,635,2029000.07
2024-01,2025-03,14,785,2362337.71
2024-01,2025-04,15,748,2352818.9729999998
2024-01,2025-05,16,763,2519835.8
2024-01,2025-06,17,693,2284271.214
2024-01,2025-07,18,717,2214852.3
2024-01,2025-08,19,731,2464128.478
2024-01,2025-09,20,770,2515504.209
2024-01,2025-10,21,725,2381241.131
2024-01,2025-11,22,716,2387042.584
2024-01,2025-12,23,721,2129429.976
2024-02,2024-02,0,3737,11843128.097
2024-02,2024-03,1,587,1909621.205
2024-02,2024-04,2,567,1821291.041
2024-02,2024-05,3,577,1965544.244
2024-02,2024-06,4,584,1866229.49
2024-02,2024-07,5,603,1951277.426
2024-02,2024-08,6,595,1955466.206
2024-02,2024-09,7,577,1922464.734
2024-02,2024-10,8,619,2081294.257
2024-02,2024-11,9,585,1890856.252
2024-02,2024-12,10,629,2061385.67
2024-02,2025-01,11,599,2022005.154
2024-02,2025-02,12,534,1638872.5050000001
2024-02,2025-03,13,560,1728925.2110000001
2024-02,2025-04,14,553,1693177.422
2024-02,2025-05,15,567,1731613.893
2024-02,2025-06,16,543,1765264.383
2024-02,2025-07,17,564,1705083.942
2024-02,2025-08,18,623,1860082.994
2024-02,2025-09,19,563,1794951.247
2024-02,2025-10,20,559,1753063.973
2024-02,2025-11,21,539,1808617.624
2024-02,2025-12,22,595,1843285.53
2024-03,2024-03,0,3432,11174530.672
2024-03,2024-04,1,541,1688748.144
2024-03,2024-05,2,556,1755018.747
2024-03,2024-06,3,520,1615313.839
2024-03,2024-07,4,517,1711619.106
2024-03,2024-08,5,534,1814981.278
2024-03,2024-09,6,499,1556031.512
2024-03,2024-10,7,546,1633237.705
