customer_id,recency_days,frequency,monetary,gross_profit,contribution_profit,returns,first_order,last_order,avg_order_value,return_rate,R_score,F_score,M_score,RFM_score,rfm_segment,tenure_years,annual_contribution,estimated_retention,clv_3yr,churn_probability,churn_band
100001,14,5,8739.403,3746.835165,2882.0001105453803,0,2024-01-17 00:51:06,2025-12-16 05:45:01,1747.8806,0.0,5,4,2,11,Loyal Customers,1.915068493150685,1504.9070677382888,0.87,3126.653752118444,0.04,Very Low
100002,63,1,5486.58,2101.3601400000002,1949.8369854669293,0,2025-10-28 10:03:26,2025-10-28 10:03:26,5486.58,0.0,4,1,2,7,New / Promising,0.25,7799.347941867717,0.6300000000000001,9053.958142112871,0.29200000000000004,Low
100003,36,3,5725.816,2179.489208,1718.049414085232,1,2024-10-27 02:57:07,2025-11-24 13:24:30,1908.6053333333332,0.3333333333333333,5,2,2,9,New / Promising,1.0767123287671232,1595.6438578654192,0.75,2515.8589236230328,0.20400000000000001,Low
100004,245,5,9970.271,4347.629312,3500.898245731665,1,2024-02-06 12:34:38,2025-04-29 20:10:29,1994.0542,0.2,2,4,3,9,At Risk Loyal,1.2273972602739727,2852.2943296697717,0.73,4283.412265622819,0.95,Very High
100005,77,4,24170.127,9345.172272,8622.936062095676,0,2024-10-07 00:38:31,2025-10-14 02:15:45,6042.53175,0.0,4,3,5,12,Loyal Customers,1.0191780821917809,8460.676512540113,0.8699999999999999,17578.23225798973,0.23800000000000002,Low
100006,74,4,14758.715,5565.281486000001,5020.834389848738,0,2024-04-20 11:11:55,2025-10-17 09:35:34,3689.67875,0.0,4,3,4,11,Loyal Customers,1.4904109589041097,3368.758368188951,0.8300000000000001,6402.744842285322,0.226,Low
100007,183,3,14784.354,5211.188496,4553.338677079186,0,2024-04-07 12:46:32,2025-06-30 09:51:49,4928.1179999999995,0.0,2,2,4,8,At Risk High Value,1.2273972602739727,3709.751377531033,0.6500000000000001,4543.180749505904,0.6619999999999999,High
100008,9,2,6370.094,1965.6728130000001,1485.6025121695611,0,2024-02-28 22:35:56,2025-12-21 21:44:08,3185.047,0.0,5,1,2,8,New / Promising,1.810958904109589,820.3402676881843,0.6900000000000001,1114.625406499245,0.08,Very Low
100009,53,4,13398.937,6196.477045,5577.802996297017,1,2024-12-29 01:41:37,2025-11-07 04:46:02,3349.73425,0.25,4,3,4,11,Loyal Customers,0.8575342465753425,6504.466752870323,0.8300000000000001,12362.549165598362,0.24200000000000002,Low
100010,578,4,10040.511,3861.880045,3267.2088425027814,0,2024-02-08 10:32:07,2024-05-31 18:18:02,2510.12775,0.0,1,3,3,7,Potential Loyalist,0.3095890410958904,10553.373694809869,0.61,11599.894200267645,0.95,Very High
