product_id,units,orders,revenue,gross_profit,contribution_profit,returns,product_name,category,subcategory,list_price_inr,gross_margin_rate,weight_kg,abc_class,contribution_margin_pct,return_rate_pct
2001,718,514,1116442.245,500166.12576,408775.89562151406,24,UrbanPeak Smartphones 01,Electronics,Smartphones,1685,0.448,3.12,B,36.61415513898921,4.669260700389105
2002,747,546,746506.485,267249.32162999996,170444.10717556716,43,Aurelia Smartphones 02,Electronics,Smartphones,1083,0.358,2.53,B,22.832233959168775,7.875457875457876
2003,796,569,2238425.264,1284856.101536,1184336.0218101335,43,Vertex Smartphones 03,Electronics,Smartphones,3056,0.574,2.23,C,52.90933947438388,7.557117750439367
2004,673,487,1699405.848,338181.763752,252827.29081657817,31,Luma Smartphones 04,Electronics,Smartphones,2744,0.199,3.11,A,14.877393243887328,6.365503080082136
2005,755,551,1185125.892,424275.06933599996,327406.47188636026,34,Nexora Smartphones 05,Electronics,Smartphones,1698,0.358,1.13,C,27.626303171373145,6.170598911070781
2006,794,566,783920.118,427236.46431,328488.0836896045,37,HomeCraft Smartphones 06,Electronics,Smartphones,1074,0.545,3.8,B,41.90325980249999,6.5371024734982335
2007,771,556,681279.742,303850.764932,206026.86319317514,47,Stride Smartphones 07,Electronics,Smartphones,962,0.446,3.28,B,30.24115506331541,8.453237410071942
2008,822,587,1742267.4949999999,477381.29363000003,373661.68603526783,41,Nova Smartphones 08,Electronics,Smartphones,2309,0.274,3.17,B,21.446860892923212,6.984667802385008
2009,761,540,257011.201,117197.10765600001,20858.356034096734,40,UrbanPeak Smartphones 09,Electronics,Smartphones,367,0.456,3.13,A,8.115738128509323,7.407407407407407
2010,776,560,1837292.282,650401.467828,550545.4139380731,30,Aurelia Smartphones 10,Electronics,Smartphones,2569,0.354,2.52,C,29.965042542864886,5.357142857142857
2011,802,562,442353.713,149073.20128100002,49233.93733420205,42,Vertex Smartphones 11,Electronics,Smartphones,599,0.337,3.58,A,11.12999300950867,7.473309608540926
2012,834,598,1059982.944,579810.670368,477607.0139396088,42,Luma Audio 01,Electronics,Audio,1382,0.547,2.1,B,45.057990474572094,7.023411371237458
2013,799,571,874388.024,491406.06948800007,389989.1411823354,39,Nexora Audio 02,Electronics,Audio,1192,0.562,2.95,B,44.60138182111417,6.830122591943958
2014,704,531,2271103.305,542793.689895,450858.34475564293,36,HomeCraft Audio 03,Electronics,Audio,3505,0.239,1.91,C,19.851952298384898,6.779661016949152
2015,733,528,2672187.896,569176.021848,477593.4621992375,26,Stride Audio 04,Electronics,Audio,3964,0.213,1.88,B,17.872750000632344,4.924242424242424
2016,767,562,1429147.315,461614.582745,361558.7284293933,34,Nova Audio 05,Electronics,Audio,2011,0.323,3.63,B,25.298912479809218,6.049822064056939
2017,721,516,1560915.972,886600.2720959999,797089.0162639298,30,UrbanPeak Audio 06,Electronics,Audio,2343,0.568,3.1,C,51.06546608288084,5.813953488372093
2018,768,558,1296077.012,343460.40818,244448.26210861752,33,Aurelia Audio 07,Electronics,Audio,1831,0.265,3.39,C,18.86062786742934,5.913978494623656
2019,790,552,1255725.504,237332.120256,140795.29431699705,32,Vertex Audio 08,Electronics,Audio,1728,0.189,1.52,B,11.212266842435419,5.797101449275362
2020,766,551,2430933.72,828948.39852,731808.007817411,36,Luma Audio 09,Electronics,Audio,3460,0.341,2.92,B,30.103988512587293,6.533575317604356
2021,764,542,1469403.549,374697.904995,281108.4666996417,33,Nexora Audio 10,Electronics,Audio,2097,0.255,1.31,B,19.130787242956476,6.088560885608856
2022,783,545,1143268.228,268668.03358,174639.14857733785,42,HomeCraft Audio 11,Electronics,Audio,1577,0.235,3.95,A,15.275430935647227,7.706422018348624
2023,746,546,484634.625,288357.601875,190187.86831604864,39,Stride Wearables 01,Electronics,Wearables,705,0.595,1.35,C,39.24355762158939,7.142857142857143
2024,702,520,1606509.981,605654.262837,514736.7693624214,34,Nova Wearables 02,Electronics,Wearables,2487,0.377,3.72,A,32.04068293693479,6.538461538461538
2025,748,538,742216.633,149927.759866,54563.28117107269,24,UrbanPeak Wearables 03,Electronics,Wearables,1073,0.202,2.78,C,7.3513956364101976,4.4609665427509295
2026,828,611,774847.752,156519.245904,48377.375565076065,39,Aurelia Wearables 04,Electronics,Wearables,1013,0.202,1.64,B,6.243468531747907,6.382978723404255
2027,775,578,2960885.415,1646252.29074,1545619.7210423176,36,Vertex Wearables 05,Electronics,Wearables,4145,0.556,3.87,B,52.20126767527468,6.228373702422146
2028,745,554,1254628.011,436610.547828,339978.4833993826,33,Luma Wearables 06,Electronics,Wearables,1833,0.348,3.68,B,27.0979509797811,5.956678700361011
2029,700,508,754563.782,188640.9455,99162.0023008703,25,Nexora Wearables 07,Electronics,Wearables,1169,0.25,1.87,C,13.141632909816801,4.921259842519685
2030,725,531,1533776.816,728543.9876,634902.5562398137,31,HomeCraft Wearables 08,Electronics,Wearables,2288,0.475,3.15,B,41.394715946717874,5.83804143126177
2031,828,593,971554.942,518810.339028,415089.13043796935,47,Stride Wearables 09,Electronics,Wearables,1271,0.534,2.28,A,42.72420554863168,7.925801011804385
2032,737,532,815009.769,495525.93955199997,402601.680363566,40,Nova Wearables 10,Electronics,Wearables,1197,0.608,3.88,B,49.398387071795455,7.518796992481203
2033,719,544,753348.912,308873.05392,213743.911254769,56,UrbanPeak Wearables 11,Electronics,Wearables,1137,0.41,2.13,A,28.37249883155987,10.294117647058824
2034,804,557,863666.552,357557.952528,260044.41715185525,34,Aurelia Accessories 01,Electronics,Accessories,1169,0.414,3.53,A,30.109353725655826,6.1041292639138245
2035,731,528,544135.018,277508.85918,185167.10831263775,36,Vertex Accessories 02,Electronics,Accessories,809,0.51,3.47,A,34.02962540312701,6.818181818181818
2036,832,598,2151149.448,1026098.2866959999,920529.186174663,41,Luma Accessories 03,Electronics,Accessories,2792,0.477,1.68,A,42.79243299578798,6.8561872909699
2037,723,530,1211870.551,750147.871069,658260.8891626282,28,Nexora Accessories 04,Electronics,Accessories,1819,0.619,1.85,B,54.317756019357894,5.283018867924528
2038,689,506,3556190.22,1362020.85426,1273737.0516831868,31,HomeCraft Accessories 05,Electronics,Accessories,5610,0.383,2.14,C,35.81746118415417,6.126482213438735
2039,737,539,639317.211,392540.767554,296073.65362730605,33,Stride Accessories 06,Electronics,Accessories,939,0.614,3.44,C,46.31091554131585,6.122448979591836
