state,revenue,customers,orders,contribution_profit,revenue_per_customer,orders_per_customer
Andhra Pradesh,14363896.938,1162,4829,4887002.510586281,12361.35708950086,4.155765920826162
Bihar,14655845.956,1179,4977,4943678.844220573,12430.742965224767,4.221374045801527
Delhi,25530446.858,2084,8691,8711333.649602693,12250.694269673704,4.1703454894433785
Gujarat,24651108.029,2031,8308,8403844.170160629,12137.423943377646,4.090595765632694
Haryana,18186190.415,1512,6184,6163122.366419558,12027.903713624339,4.08994708994709
Karnataka,33569737.344,2698,11185,11393771.48243293,12442.452684951815,4.145663454410674
Kerala,18472421.848,1496,6190,6302795.960716032,12347.875566844921,4.137700534759358
Madhya Pradesh,20434240.362,1743,7037,6934916.4852594305,11723.603191049913,4.037292025243833
Maharashtra,34789289.904,2881,11900,11785578.694439318,12075.421695244706,4.130510239500174
Punjab,18515565.628,1508,6195,6350314.673085712,12278.226543766577,4.108090185676392
Rajasthan,21993908.614,1811,7459,7464956.644305143,12144.62099061292,4.118718939812259
Tamil Nadu,32836611.213,2698,11101,11175504.844333597,12170.723207190511,4.114529280948851
Telangana,24571355.879,1986,8231,8449209.073247561,12372.283926988923,4.144511581067472
Uttar Pradesh,35797260.434,2930,12231,12161468.703055982,12217.495028668942,4.1744027303754265
West Bengal,21707193.471,1791,7396,7395132.7856467385,12120.152691792295,4.129536571747627
