customer_id,signup_date,state,city,customer_segment,acquisition_channel,age,annual_income_inr,gender
100001,2023-12-21 11:07:39,Haryana,Gurugram,Mass,Email,36,1354000,Male
100002,2024-02-26 07:30:03,Gujarat,Surat,Mass,Social,19,846000,Male
100003,2025-02-17 09:48:57,Punjab,Amritsar,Mid-Market,Email,27,656000,Female
100004,2022-09-05 22:30:52,Rajasthan,Jaipur,Mid-Market,Organic,27,636000,Female
100005,2024-02-03 13:10:02,Maharashtra,Mumbai,Mid-Market,Paid Search,40,780000,Female
100006,2022-04-19 23:02:07,Bihar,Patna,Mass,Social,27,838000,Male
100007,2023-11-01 21:32:50,Haryana,Faridabad,Mid-Market,Social,31,439000,Female
100008,2022-08-13 19:31:36,Haryana,Gurugram,Premium,Marketplace,29,628000,Male
100009,2022-10-24 14:28:10,Karnataka,Bengaluru,Premium,Organic,32,830000,Male
100010,2023-06-15 20:00:44,Gujarat,Surat,Mass,Referral,35,460000,Male
100011,2023-07-15 22:06:03,Telangana,Hyderabad,Mass,Social,31,1383000,Female
100012,2022-05-29 11:48:01,Andhra Pradesh,Vijayawada,Mid-Market,Email,40,2342000,Male
100013,2024-02-06 22:09:04,West Bengal,Kolkata,Mass,Marketplace,50,1137000,Female
100014,2023-05-27 16:13:21,Punjab,Ludhiana,Mid-Market,Paid Search,47,465000,Male
100015,2025-01-09 17:36:11,Gujarat,Vadodara,Mass,Organic,54,906000,Female
100016,2024-02-17 09:53:45,Delhi,New Delhi,Mass,Social,29,930000,Female
100017,2025-01-31 02:35:40,Uttar Pradesh,Lucknow,Mid-Market,Social,40,506000,Female
100018,2022-01-23 00:57:49,Maharashtra,Mumbai,Mass,Email,35,530000,Female
100019,2023-08-01 02:42:24,Punjab,Amritsar,Mass,Organic,53,485000,Female
100020,2024-12-09 01:46:32,West Bengal,Kolkata,Mid-Market,Social,40,585000,Male
100021,2022-08-23 12:56:31,Kerala,Thiruvananthapuram,Mass,Email,40,409000,Male
100022,2022-10-10 19:31:59,Telangana,Hyderabad,Mass,Organic,37,553000,Female
100023,2024-06-22 07:34:10,Bihar,Patna,Mass,Organic,32,941000,Male
100024,2025-04-28 21:03:51,Madhya Pradesh,Bhopal,Mass,Organic,57,481000,Female
100025,2025-04-18 03:56:37,Haryana,Faridabad,Mass,Organic,22,1072000,Female
100026,2025-05-08 05:48:53,Delhi,New Delhi,Mass,Organic,33,436000,Male
100027,2024-09-22 22:02:54,Gujarat,Surat,Mass,Referral,43,952000,Female
100028,2025-05-28 23:25:41,Maharashtra,Nagpur,Premium,Social,27,895000,Male
100029,2022-11-19 02:28:10,Karnataka,Mysuru,Mid-Market,Organic,31,694000,Male
100030,2022-07-16 22:43:48,Rajasthan,Jaipur,Mid-Market,Paid Search,44,610000,Male
100031,2024-12-04 18:02:09,Kerala,Thiruvananthapuram,Mid-Market,Paid Search,32,723000,Female
100032,2023-08-04 23:32:36,Bihar,Patna,Mid-Market,Referral,23,1006000,Male
100033,2022-03-08 00:37:36,Tamil Nadu,Madurai,Mid-Market,Paid Search,52,453000,Female
100034,2023-07-24 20:08:05,Telangana,Hyderabad,Premium,Organic,34,705000,Male
100035,2024-01-08 12:00:59,Gujarat,Ahmedabad,Mid-Market,Organic,30,575000,Female
100036,2024-05-10 09:36:18,Karnataka,Mysuru,Mid-Market,Organic,46,729000,Female
100037,2022-03-04 05:10:21,Karnataka,Mysuru,Mass,Marketplace,25,603000,Female
100038,2022-06-03 02:08:01,Gujarat,Ahmedabad,Mid-Market,Organic,20,1017000,Male
100039,2025-03-01 14:05:25,Delhi,New Delhi,Mass,Paid Search,32,373000,Male
100040,2023-05-11 22:27:09,Rajasthan,Udaipur,Mid-Market,Paid Search,36,629000,Female
100041,2022-03-06 15:15:37,Gujarat,Ahmedabad,Mid-Market,Marketplace,19,712000,Female
100042,2022-01-16 21:38:34,Punjab,Ludhiana,Mass,Marketplace,29,465000,Female
100043,2023-05-26 00:16:00,Rajasthan,Jaipur,Mass,Referral,35,346000,Male
100044,2022-04-21 19:58:52,Tamil Nadu,Chennai,Premium,Referral,30,1052000,Female
100045,2022-06-22 00:51:40,Punjab,Amritsar,Mass,Social,26,585000,Female
100046,2022-09-24 10:53:55,Haryana,Faridabad,Mid-Market,Email,25,470000,Male
100047,2024-06-15 12:55:48,Telangana,Warangal,Mass,Organic,32,741000,Male
100048,2023-12-10 01:18:23,Tamil Nadu,Coimbatore,Mid-Market,Social,38,529000,Female
100049,2024-09-17 06:01:25,Rajasthan,Udaipur,Premium,Referral,32,514000,Male
100050,2023-02-28 21:19:15,Karnataka,Mysuru,Mid-Market,Referral,21,647000,Male
100051,2022-04-12 02:16:35,Delhi,New Delhi,Mass,Email,28,591000,Male
100052,2023-12-22 01:05:00,Maharashtra,Pune,Mid-Market,Marketplace,40,1247000,Female
