product_id,product_name,category,subcategory,list_price_inr,gross_margin_rate,weight_kg,abc_class
2001,UrbanPeak Smartphones 01,Electronics,Smartphones,1685,0.448,3.12,B
2002,Aurelia Smartphones 02,Electronics,Smartphones,1083,0.358,2.53,B
2003,Vertex Smartphones 03,Electronics,Smartphones,3056,0.574,2.23,C
2004,Luma Smartphones 04,Electronics,Smartphones,2744,0.199,3.11,A
2005,Nexora Smartphones 05,Electronics,Smartphones,1698,0.358,1.13,C
2006,HomeCraft Smartphones 06,Electronics,Smartphones,1074,0.545,3.8,B
2007,Stride Smartphones 07,Electronics,Smartphones,962,0.446,3.28,B
2008,Nova Smartphones 08,Electronics,Smartphones,2309,0.274,3.17,B
2009,UrbanPeak Smartphones 09,Electronics,Smartphones,367,0.456,3.13,A
2010,Aurelia Smartphones 10,Electronics,Smartphones,2569,0.354,2.52,C
2011,Vertex Smartphones 11,Electronics,Smartphones,599,0.337,3.58,A
2012,Luma Audio 01,Electronics,Audio,1382,0.547,2.1,B
2013,Nexora Audio 02,Electronics,Audio,1192,0.562,2.95,B
2014,HomeCraft Audio 03,Electronics,Audio,3505,0.239,1.91,C
2015,Stride Audio 04,Electronics,Audio,3964,0.213,1.88,B
2016,Nova Audio 05,Electronics,Audio,2011,0.323,3.63,B
2017,UrbanPeak Audio 06,Electronics,Audio,2343,0.568,3.1,C
2018,Aurelia Audio 07,Electronics,Audio,1831,0.265,3.39,C
2019,Vertex Audio 08,Electronics,Audio,1728,0.189,1.52,B
2020,Luma Audio 09,Electronics,Audio,3460,0.341,2.92,B
2021,Nexora Audio 10,Electronics,Audio,2097,0.255,1.31,B
2022,HomeCraft Audio 11,Electronics,Audio,1577,0.235,3.95,A
2023,Stride Wearables 01,Electronics,Wearables,705,0.595,1.35,C
2024,Nova Wearables 02,Electronics,Wearables,2487,0.377,3.72,A
2025,UrbanPeak Wearables 03,Electronics,Wearables,1073,0.202,2.78,C
2026,Aurelia Wearables 04,Electronics,Wearables,1013,0.202,1.64,B
2027,Vertex Wearables 05,Electronics,Wearables,4145,0.556,3.87,B
2028,Luma Wearables 06,Electronics,Wearables,1833,0.348,3.68,B
2029,Nexora Wearables 07,Electronics,Wearables,1169,0.25,1.87,C
2030,HomeCraft Wearables 08,Electronics,Wearables,2288,0.475,3.15,B
2031,Stride Wearables 09,Electronics,Wearables,1271,0.534,2.28,A
2032,Nova Wearables 10,Electronics,Wearables,1197,0.608,3.88,B
2033,UrbanPeak Wearables 11,Electronics,Wearables,1137,0.41,2.13,A
2034,Aurelia Accessories 01,Electronics,Accessories,1169,0.414,3.53,A
2035,Vertex Accessories 02,Electronics,Accessories,809,0.51,3.47,A
2036,Luma Accessories 03,Electronics,Accessories,2792,0.477,1.68,A
2037,Nexora Accessories 04,Electronics,Accessories,1819,0.619,1.85,B
2038,HomeCraft Accessories 05,Electronics,Accessories,5610,0.383,2.14,C
2039,Stride Accessories 06,Electronics,Accessories,939,0.614,3.44,C
2040,Nova Accessories 07,Electronics,Accessories,853,0.553,2.79,B
2041,UrbanPeak Accessories 08,Electronics,Accessories,2434,0.364,1.23,B
2042,Aurelia Accessories 09,Electronics,Accessories,2031,0.608,2.27,B
2043,Vertex Accessories 10,Electronics,Accessories,8003,0.533,2.25,B
2044,Luma Accessories 11,Electronics,Accessories,1005,0.285,2.62,C
2045,Nexora Kitchen 01,Home,Kitchen,2002,0.462,2.63,C
2046,HomeCraft Kitchen 02,Home,Kitchen,1776,0.318,1.03,B
2047,Stride Kitchen 03,Home,Kitchen,2011,0.278,3.24,B
2048,Nova Kitchen 04,Home,Kitchen,1545,0.508,2.41,B
2049,UrbanPeak Kitchen 05,Home,Kitchen,939,0.285,3.07,A
2050,Aurelia Kitchen 06,Home,Kitchen,874,0.338,1.27,C
2051,Vertex Kitchen 07,Home,Kitchen,2914,0.214,1.47,C
2052,Luma Kitchen 08,Home,Kitchen,2157,0.289,2.76,A
2053,Nexora Kitchen 09,Home,Kitchen,3217,0.52,3.35,C
2054,HomeCraft Kitchen 10,Home,Kitchen,2178,0.498,3.84,B
2055,Stride Kitchen 11,Home,Kitchen,1375,0.583,1.73,C
2056,Nova Home Decor 01,Home,Home Decor,2772,0.575,2.4,B
2057,UrbanPeak Home Decor 02,Home,Home Decor,3187,0.348,1.89,C
2058,Aurelia Home Decor 03,Home,Home Decor,954,0.48,1.07,B
2059,Vertex Home Decor 04,Home,Home Decor,3989,0.211,3.41,B
2060,Luma Home Decor 05,Home,Home Decor,4846,0.271,3.9,C
2061,Nexora Home Decor 06,Home,Home Decor,1918,0.313,2.34,A
2062,HomeCraft Home Decor 07,Home,Home Decor,808,0.588,3.94,B
2063,Stride Home Decor 08,Home,Home Decor,3528,0.383,1.54,B
2064,Nova Home Decor 09,Home,Home Decor,1583,0.239,2.75,B
2065,UrbanPeak Home Decor 10,Home,Home Decor,4131,0.62,2.49,A
2066,Aurelia Home Decor 11,Home,Home Decor,3476,0.581,2.72,B
2067,Vertex Storage 01,Home,Storage,525,0.221,3.87,C
2068,Luma Storage 02,Home,Storage,2943,0.323,3.78,B
2069,Nexora Storage 03,Home,Storage,1903,0.608,3.72,A
2070,HomeCraft Storage 04,Home,Storage,1556,0.313,1.63,A
2071,Stride Storage 05,Home,Storage,2438,0.413,3.05,A
2072,Nova Storage 06,Home,Storage,942,0.48,3.17,C
2073,UrbanPeak Storage 07,Home,Storage,3004,0.599,2.67,B
2074,Aurelia Storage 08,Home,Storage,887,0.292,3.53,B
2075,Vertex Storage 09,Home,Storage,1628,0.336,2.16,C
2076,Luma Storage 10,Home,Storage,5721,0.387,1.59,C
2077,Nexora Storage 11,Home,Storage,1183,0.454,2.91,B
2078,HomeCraft Appliances 01,Home,Appliances,2008,0.268,2.17,B
2079,Stride Appliances 02,Home,Appliances,788,0.258,2.64,B
2080,Nova Appliances 03,Home,Appliances,8772,0.516,1.27,A
2081,UrbanPeak Appliances 04,Home,Appliances,1261,0.289,3.7,C
2082,Aurelia Appliances 05,Home,Appliances,1181,0.59,3.65,B
2083,Vertex Appliances 06,Home,Appliances,6886,0.454,2.36,C
2084,Luma Appliances 07,Home,Appliances,1263,0.46,3.05,B
2085,Nexora Appliances 08,Home,Appliances,1048,0.366,3.9,B
2086,HomeCraft Appliances 09,Home,Appliances,292,0.596,1.35,A
2087,Stride Appliances 10,Home,Appliances,4209,0.604,3.81,A
2088,Nova Appliances 11,Home,Appliances,965,0.258,2.8,B
2089,UrbanPeak Menswear 01,Fashion,Menswear,647,0.55,1.22,B
2090,Aurelia Menswear 02,Fashion,Menswear,2545,0.303,1.05,C
2091,Vertex Menswear 03,Fashion,Menswear,1688,0.246,2.28,B
2092,Luma Menswear 04,Fashion,Menswear,2608,0.55,3.0,B
2093,Nexora Menswear 05,Fashion,Menswear,2930,0.284,1.39,B
2094,HomeCraft Menswear 06,Fashion,Menswear,1458,0.197,2.0,C
2095,Stride Menswear 07,Fashion,Menswear,2899,0.404,2.84,A
2096,Nova Menswear 08,Fashion,Menswear,2380,0.534,1.96,B
2097,UrbanPeak Menswear 09,Fashion,Menswear,8050,0.583,3.66,A
2098,Aurelia Menswear 10,Fashion,Menswear,2130,0.427,1.6,B
2099,Vertex Menswear 11,Fashion,Menswear,3729,0.222,2.58,B
2100,Luma Womenswear 01,Fashion,Womenswear,624,0.208,3.77,B
2101,Nexora Womenswear 02,Fashion,Womenswear,799,0.194,2.23,B
2102,HomeCraft Womenswear 03,Fashion,Womenswear,4152,0.349,3.74,B
2103,Stride Womenswear 04,Fashion,Womenswear,1159,0.564,2.05,B
2104,Nova Womenswear 05,Fashion,Womenswear,3332,0.327,3.92,B
2105,UrbanPeak Womenswear 06,Fashion,Womenswear,7353,0.434,2.42,B
2106,Aurelia Womenswear 07,Fashion,Womenswear,2936,0.539,3.0,A
2107,Vertex Womenswear 08,Fashion,Womenswear,2124,0.417,1.84,A
2108,Luma Womenswear 09,Fashion,Womenswear,1703,0.533,3.04,A
2109,Nexora Womenswear 10,Fashion,Womenswear,940,0.338,1.13,B
2110,HomeCraft Womenswear 11,Fashion,Womenswear,625,0.471,2.72,A
2111,Stride Footwear 01,Fashion,Footwear,1991,0.29,3.09,A
